ConocoPhillips COP
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Apr 7, 2020",34.88,35.94,33.02,33.27,"11,704,205"
,"Apr 8, 2020",34.05,35.89,33.87,35.68,"8,171,141"
,"Apr 9, 2020",37.93,37.98,33.29,34.73,"14,200,217"
,"Apr 13, 2020",35.94,35.98,33.77,34.30,"10,221,957"
,"Apr 14, 2020",34.37,34.47,33.67,34.08,"11,082,188"
,"Apr 15, 2020",32.17,33.00,30.73,32.20,"11,354,743"
,"Apr 16, 2020",31.84,32.23,30.52,31.07,"13,220,644"
,"Apr 17, 2020",31.98,35.37,31.85,35.26,"13,162,636"
,"Apr 20, 2020",32.47,35.67,32.40,34.57,"13,226,406"
,"Apr 21, 2020",32.95,34.13,32.61,33.19,"13,639,499"
,"Apr 22, 2020",35.20,35.53,34.54,34.98,"12,049,942"
,"Apr 23, 2020",36.61,37.20,35.37,36.18,"9,849,555"
,"Apr 24, 2020",36.97,37.30,35.78,36.09,"8,686,357"
,"Apr 27, 2020",35.87,37.41,34.68,37.15,"8,302,505"
,"Apr 28, 2020",37.89,38.99,37.56,38.48,"9,445,657"
,"Apr 29, 2020",40.07,42.55,39.64,42.21,"12,958,092"
,"Apr 30, 2020",42.58,43.58,40.84,42.10,"11,760,719"
,"May 1, 2020",40.54,41.30,38.71,39.14,"9,256,689"
,"May 4, 2020",38.62,40.40,38.15,40.36,"12,515,610"
,"May 5, 2020",43.10,43.57,40.66,40.92,"10,096,694"
,"May 6, 2020",41.09,41.83,39.82,40.49,"8,212,987"
,"May 7, 2020",42.00,43.35,41.91,42.42,"9,521,420"
,"May 8, 2020",43.12,43.35,42.06,43.08,"6,975,560"
,"May 11, 2020",42.23,43.28,42.08,42.27,"7,076,751"
,"May 12, 2020",42.62,43.15,41.53,41.58,"7,375,857"
,"May 13, 2020",41.02,41.18,39.54,39.89,"7,666,364"
,"May 14, 2020",38.93,40.46,37.78,39.93,"6,718,736"
,"May 15, 2020",39.87,41.55,39.72,40.87,"7,242,459"
,"May 18, 2020",43.45,44.61,43.17,43.60,"9,049,922"
,"May 19, 2020",43.70,43.88,42.61,42.67,"6,126,664"
,"May 20, 2020",43.59,44.80,43.30,44.15,"7,202,999"
,"May 21, 2020",44.39,44.87,43.62,43.72,"6,645,950"
,"May 22, 2020",42.91,43.36,42.30,43.28,"4,674,290"
