TC PIPELINES LP TRP
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Apr 7, 2020",46.46,46.57,44.45,45.82,"3,144,523"
,"Apr 8, 2020",45.94,47.19,45.75,46.03,"2,247,102"
,"Apr 9, 2020",46.97,48.67,46.38,47.40,"2,417,189"
,"Apr 13, 2020",47.38,48.31,47.19,47.90,"1,843,054"
,"Apr 14, 2020",48.53,48.53,47.46,47.98,"2,096,475"
,"Apr 15, 2020",46.69,46.89,45.75,46.08,"2,045,566"
,"Apr 16, 2020",46.18,46.67,44.39,44.40,"2,454,107"
,"Apr 17, 2020",45.73,45.90,44.42,45.09,"4,037,926"
,"Apr 20, 2020",44.21,45.39,43.46,44.86,"2,376,790"
,"Apr 21, 2020",42.77,44.63,42.77,44.40,"2,074,737"
,"Apr 22, 2020",45.15,45.50,44.11,44.64,"2,156,867"
,"Apr 23, 2020",45.13,45.77,44.78,45.46,"1,588,450"
,"Apr 24, 2020",45.73,46.18,45.36,45.80,"1,128,593"
,"Apr 27, 2020",45.68,46.13,45.38,45.79,"2,215,707"
,"Apr 28, 2020",46.33,47.05,46.19,46.47,"1,327,161"
,"Apr 29, 2020",47.30,48.72,47.30,48.60,"1,326,688"
,"Apr 30, 2020",48.39,48.51,46.03,46.36,"1,871,924"
,"May 1, 2020",45.36,46.48,45.16,45.18,"1,875,970"
,"May 4, 2020",44.10,46.12,44.10,45.95,"1,638,447"
,"May 5, 2020",46.99,47.54,46.51,47.29,"2,063,242"
,"May 6, 2020",47.08,47.60,46.94,47.18,"2,545,016"
,"May 7, 2020",48.12,48.21,45.76,45.82,"2,141,851"
,"May 8, 2020",46.69,46.88,45.74,46.07,"1,818,691"
,"May 11, 2020",45.85,47.11,45.55,46.92,"1,586,753"
,"May 12, 2020",47.08,47.50,45.78,45.78,"1,213,712"
,"May 13, 2020",45.66,46.04,43.92,44.13,"1,972,084"
,"May 14, 2020",43.41,44.05,42.63,44.00,"2,414,758"
,"May 15, 2020",44.08,44.89,43.85,44.51,"1,448,171"
,"May 18, 2020",46.24,46.24,44.72,44.79,"1,534,784"
,"May 19, 2020",45.30,45.50,43.97,43.97,"2,393,521"
,"May 20, 2020",44.47,44.65,42.89,42.93,"2,865,070"
,"May 21, 2020",42.97,42.97,41.49,41.51,"2,986,119"
,"May 22, 2020",41.21,42.60,40.86,42.11,"2,903,954"
,"May 26, 2020",43.28,43.94,42.89,43.69,"2,171,332"
,"May 27, 2020",44.00,44.19,42.66,44.09,"1,539,836"
,"May 28, 2020",44.55,44.91,44.21,44.54,"1,739,151"
,"May 29, 2020",44.57,45.32,43.72,45.01,"2,088,078"
,"Jun 1, 2020",45.16,45.93,44.75,44.91,"1,364,673"
,"Jun 2, 2020",45.18,45.89,45.04,45.44,"1,258,837"
,"Jun 3, 2020",45.92,46.22,45.56,45.97,"1,165,397"
,"Jun 4, 2020",45.73,46.26,45.60,45.91,"1,082,857"
,"Jun 5, 2020",47.05,47.65,46.45,47.00,"1,511,854"
,"Jun 8, 2020",47.67,48.35,47.26,48.34,"1,565,516"
,"Jun 9, 2020",47.69,47.69,46.53,46.69,"1,512,710"
,"Jun 10, 2020",46.62,46.62,45.43,45.43,"1,792,399"
,"Jun 11, 2020",44.16,44.27,42.67,42.72,"1,618,703"
,"Jun 12, 2020",43.77,44.10,42.57,43.35,"1,434,081"
,"Jun 15, 2020",42.34,44.24,42.24,43.78,"1,275,051"
,"Jun 16, 2020",44.82,45.35,44.17,44.74,"1,207,108"
,"Jun 17, 2020",44.87,44.90,44.04,44.05,"808,206"
,"Jun 18, 2020",43.75,44.72,43.73,44.23,"1,029,013"
,"Jun 19, 2020",44.92,44.92,43.59,43.59,"1,098,407"
,"Jun 22, 2020",43.50,44.17,43.26,44.05,"1,645,047"
,"Jun 23, 2020",44.86,45.00,44.34,44.56,"2,674,608"
,"Jun 24, 2020",44.08,44.47,42.48,43.14,"1,953,619"
,"Jun 25, 2020",43.02,43.46,42.50,42.91,"1,726,085"
,"Jun 26, 2020",42.78,42.87,41.58,41.78,"2,284,677"
,"Jun 29, 2020",41.30,42.18,41.22,42.06,"1,437,179"
,"Jun 30, 2020",41.68,43.06,41.63,42.86,"2,053,370"
,"Jul 1, 2020",42.94,43.32,42.19,42.30,"509,942"
,"Jul 2, 2020",42.96,43.64,42.83,42.90,"768,924"
,"Jul 6, 2020",43.26,43.43,42.41,42.49,"949,390"
,"Jul 7, 2020",41.92,42.31,41.51,41.79,"1,095,268"
,"Jul 8, 2020",42.01,42.42,41.60,41.96,"734,111"
,"Jul 9, 2020",41.99,41.99,40.88,41.16,"1,334,249"
,"Jul 10, 2020",41.07,41.81,41.07,41.77,"1,231,171"
,"Jul 13, 2020",42.00,42.58,41.77,42.20,"1,664,452"
,"Jul 14, 2020",42.06,43.76,42.01,43.67,"1,629,993"
,"Jul 15, 2020",44.24,44.98,44.24,44.51,"1,827,623"
,"Jul 16, 2020",44.42,45.12,44.23,44.69,"1,237,729"
,"Jul 17, 2020",44.76,45.11,44.31,44.56,"658,138"
,"Jul 20, 2020",44.60,44.94,43.84,43.91,"793,564"
,"Jul 21, 2020",44.38,45.26,44.38,44.80,"934,846"
,"Jul 22, 2020",44.61,45.06,44.32,44.96,"872,058"
,"Jul 23, 2020",44.71,44.96,44.45,44.62,"1,230,538"
,"Jul 24, 2020",44.57,44.75,44.41,44.60,"1,297,769"
,"Jul 27, 2020",44.66,44.89,44.25,44.86,"849,406"
,"Jul 28, 2020",44.87,45.31,44.58,45.02,"1,182,760"
,"Jul 29, 2020",45.06,46.10,44.72,46.07,"1,316,845"
,"Jul 30, 2020",45.12,45.53,44.77,45.50,"1,265,922"
,"Jul 31, 2020",45.67,45.67,44.70,45.60,"1,696,629"
,"Aug 3, 2020",45.62,45.82,45.04,45.13,"572,620"
,"Aug 4, 2020",45.40,47.63,45.36,47.51,"2,057,037"
,"Aug 5, 2020",47.72,48.36,47.65,47.80,"2,236,956"
,"Aug 6, 2020",47.90,48.20,47.69,48.16,"770,504"
,"Aug 7, 2020",48.00,48.15,47.68,48.00,"849,476"
,"Aug 10, 2020",48.21,48.88,48.07,48.79,"986,342"
,"Aug 11, 2020",49.19,49.80,48.63,48.93,"1,642,200"
,"Aug 12, 2020",49.53,49.69,49.04,49.42,"1,295,151"
,"Aug 13, 2020",49.28,49.50,48.94,48.98,"1,224,575"
,"Aug 14, 2020",48.73,49.48,48.54,48.88,"858,896"
,"Aug 17, 2020",49.06,49.47,48.87,49.32,"585,584"
,"Aug 18, 2020",49.55,49.59,49.10,49.39,"830,066"
,"Aug 19, 2020",49.42,49.71,49.13,49.23,"946,220"
,"Aug 20, 2020",49.16,49.44,48.90,49.25,"650,970"
,"Aug 21, 2020",49.04,49.74,48.71,49.55,"1,560,898"
,"Aug 24, 2020",49.92,49.95,49.08,49.18,"1,097,837"
,"Aug 25, 2020",49.46,49.51,48.45,48.55,"1,337,880"
,"Aug 26, 2020",48.38,48.43,47.76,47.82,"918,561"
,"Aug 27, 2020",47.99,48.33,47.28,47.77,"998,980"
,"Aug 28, 2020",48.08,48.08,47.35,47.50,"969,199"
,"Aug 31, 2020",47.52,47.52,46.59,46.66,"1,407,519"
,"Sep 1, 2020",46.71,47.06,46.36,46.63,"1,178,487"
,"Sep 2, 2020",46.66,47.35,46.54,46.81,"1,355,695"
,"Sep 3, 2020",46.50,46.96,46.18,46.50,"803,272"
,"Sep 4, 2020",46.62,46.73,45.29,45.58,"901,185"
,"Sep 8, 2020",45.00,45.64,44.79,45.03,"756,569"
,"Sep 9, 2020",45.70,46.77,45.65,46.29,"1,283,375"
,"Sep 10, 2020",46.45,46.50,45.48,45.48,"796,555"
,"Sep 11, 2020",45.67,46.10,45.36,45.81,"774,040"
,"Sep 14, 2020",46.11,46.13,45.44,45.48,"849,724"
,"Sep 15, 2020",45.80,46.25,45.35,45.46,"841,412"
,"Sep 16, 2020",45.80,45.99,45.19,45.26,"1,030,507"
,"Sep 17, 2020",45.00,45.62,44.64,45.56,"1,166,812"
,"Sep 18, 2020",45.50,45.93,45.18,45.85,"1,977,222"
,"Sep 21, 2020",45.27,45.60,43.82,44.66,"2,414,925"
,"Sep 22, 2020",44.93,46.17,44.84,46.06,"1,717,318"
,"Sep 23, 2020",45.96,46.03,43.88,43.89,"1,479,625"
,"Sep 24, 2020",43.68,44.26,43.43,43.92,"1,088,389"
,"Sep 25, 2020",43.70,44.63,43.58,44.60,"970,232"
,"Sep 28, 2020",45.00,45.29,44.13,44.23,"2,174,030"
,"Sep 29, 2020",43.54,43.78,42.81,43.26,"1,289,970"
,"Sep 30, 2020",43.42,43.64,41.98,42.02,"1,820,521"
,"Oct 1, 2020",41.89,42.20,41.37,41.68,"1,787,770"
,"Oct 2, 2020",41.30,42.05,41.05,42.01,"1,661,363"
,"Oct 5, 2020",42.36,42.36,41.36,42.15,"1,811,898"
,"Oct 6, 2020",42.66,42.67,40.92,41.37,"2,406,588"
,"Oct 7, 2020",41.30,42.05,41.16,41.96,"2,069,238"
,"Oct 8, 2020",42.32,43.94,42.32,43.91,"1,429,775"
,"Oct 9, 2020",44.08,44.32,43.61,43.78,"1,743,026"
,"Oct 12, 2020",43.82,43.85,42.93,43.36,"1,208,650"
,"Oct 13, 2020",43.33,43.92,43.33,43.62,"1,809,428"
,"Oct 14, 2020",43.62,44.24,43.40,43.42,"1,094,391"
,"Oct 15, 2020",42.78,43.93,42.71,43.78,"1,079,445"
,"Oct 16, 2020",43.60,43.68,43.02,43.03,"875,315"
,"Oct 19, 2020",43.31,43.38,42.06,42.16,"1,309,335"
,"Oct 20, 2020",42.52,43.21,42.22,42.97,"989,626"
,"Oct 21, 2020",42.70,42.75,42.11,42.15,"1,498,477"
,"Oct 22, 2020",42.09,42.69,42.03,42.36,"1,560,330"
,"Oct 23, 2020",42.69,42.81,41.96,42.18,"1,114,435"
,"Oct 26, 2020",41.75,41.89,40.98,41.47,"1,173,814"
,"Oct 27, 2020",41.31,41.88,41.00,41.66,"1,018,169"
,"Oct 28, 2020",40.90,41.11,40.12,40.15,"2,091,784"
,"Oct 29, 2020",39.97,40.39,39.50,39.67,"1,660,728"
,"Oct 30, 2020",39.48,39.67,39.01,39.46,"1,695,075"
,"Nov 2, 2020",39.96,39.96,38.91,38.96,"1,599,015"
,"Nov 3, 2020",39.57,40.11,39.53,39.87,"1,389,991"
,"Nov 4, 2020",40.17,41.21,39.74,39.98,"1,674,011"
,"Nov 5, 2020",40.59,41.18,39.93,40.05,"1,142,260"
,"Nov 6, 2020",39.99,40.34,38.80,38.83,"1,551,251"
,"Nov 9, 2020",41.13,41.94,40.12,41.01,"2,031,040"
,"Nov 10, 2020",41.41,42.90,41.17,42.69,"1,925,181"
,"Nov 11, 2020",43.01,43.13,42.37,42.50,"1,802,885"
,"Nov 12, 2020",42.29,42.29,40.71,40.88,"1,492,659"
,"Nov 13, 2020",41.19,41.85,41.08,41.72,"2,391,911"
,"Nov 16, 2020",42.59,43.43,42.26,43.05,"1,813,408"
,"Nov 17, 2020",42.86,43.09,42.10,43.04,"1,274,812"
,"Nov 18, 2020",43.30,43.48,41.81,41.83,"2,161,315"
,"Nov 19, 2020",41.71,42.57,41.44,42.46,"1,343,874"
,"Nov 20, 2020",42.57,43.13,42.15,42.95,"1,400,130"
,"Nov 23, 2020",43.36,43.83,43.21,43.71,"1,402,933"
,"Nov 24, 2020",44.49,45.41,44.02,45.02,"1,775,280"
,"Nov 25, 2020",44.99,45.23,44.81,45.08,"1,338,662"
,"Nov 27, 2020",45.08,45.65,45.08,45.27,"617,802"
,"Nov 30, 2020",45.10,45.52,43.91,43.93,"2,177,735"
,"Dec 1, 2020",44.59,44.79,43.94,44.51,"1,818,637"
,"Dec 2, 2020",44.59,44.99,44.33,44.99,"1,266,596"
,"Dec 3, 2020",45.09,45.56,44.99,45.18,"1,250,226"
,"Dec 4, 2020",45.55,46.23,45.53,46.06,"1,296,732"
,"Dec 7, 2020",45.91,45.91,44.89,45.47,"1,768,046"
,"Dec 8, 2020",45.27,45.72,45.06,45.10,"1,599,460"
,"Dec 9, 2020",45.50,45.71,44.85,45.20,"1,652,936"
,"Dec 10, 2020",45.31,45.81,45.24,45.74,"1,424,161"
,"Dec 11, 2020",45.50,45.58,45.01,45.39,"969,830"
,"Dec 14, 2020",45.71,45.80,44.14,44.21,"2,374,809"
,"Dec 15, 2020",44.50,45.02,44.20,44.88,"1,673,527"
,"Dec 16, 2020",44.75,44.95,43.98,44.24,"1,933,842"
,"Dec 17, 2020",44.58,44.63,43.50,43.57,"1,812,005"
,"Dec 18, 2020",43.69,43.71,42.87,42.92,"2,557,914"
,"Dec 21, 2020",41.99,42.18,41.09,41.24,"2,453,623"
,"Dec 22, 2020",41.20,41.20,40.61,40.74,"2,012,718"
,"Dec 23, 2020",41.00,41.51,40.83,41.07,"1,721,755"
,"Dec 24, 2020",41.06,41.46,41.06,41.34,"878,064"
,"Dec 28, 2020",41.48,41.80,40.47,40.82,"4,189,559"
,"Dec 29, 2020",41.30,41.54,41.00,41.06,"2,295,835"
,"Dec 30, 2020",40.54,40.70,40.16,40.18,"4,515,434"
,"Dec 31, 2020",40.18,41.12,40.11,40.72,"1,623,203"
,"Jan 4, 2021",41.29,41.36,40.17,40.84,"2,554,117"
,"Jan 5, 2021",41.06,42.85,41.03,42.31,"3,349,063"
,"Jan 6, 2021",42.46,42.55,41.45,41.69,"3,370,588"
,"Jan 7, 2021",41.85,43.05,41.21,42.86,"2,984,566"
,"Jan 8, 2021",43.11,43.19,42.29,42.50,"1,884,298"
,"Jan 11, 2021",42.00,42.19,41.70,42.17,"1,371,428"
,"Jan 12, 2021",42.14,42.62,41.69,42.41,"1,570,600"
,"Jan 13, 2021",42.56,43.34,42.36,43.22,"2,676,206"
,"Jan 14, 2021",43.24,44.38,43.21,44.28,"2,271,658"
,"Jan 15, 2021",43.91,44.43,43.43,44.41,"2,379,711"
,"Jan 19, 2021",42.29,44.76,42.02,44.43,"3,575,778"
,"Jan 20, 2021",44.35,44.61,43.94,44.25,"2,092,301"
,"Jan 21, 2021",44.38,45.61,44.23,45.29,"2,377,163"
,"Jan 22, 2021",44.66,44.66,44.18,44.35,"1,669,170"
,"Jan 25, 2021",44.45,44.45,43.80,43.93,"2,254,658"
,"Jan 26, 2021",44.24,44.47,43.46,43.68,"1,856,478"
,"Jan 27, 2021",43.61,43.70,42.50,42.70,"2,305,800"
,"Jan 28, 2021",42.95,43.86,42.45,43.64,"3,117,184"
,"Jan 29, 2021",43.22,43.71,42.75,42.93,"3,026,841"
,"Feb 1, 2021",43.36,43.53,42.71,43.13,"1,583,277"
,"Feb 2, 2021",43.70,43.79,42.97,43.05,"1,674,220"
,"Feb 3, 2021",42.99,43.01,42.19,42.72,"1,235,309"
,"Feb 4, 2021",42.89,43.09,42.28,43.00,"2,613,586"
,"Feb 5, 2021",43.50,43.50,42.96,43.13,"2,356,952"
,"Feb 8, 2021",43.37,43.81,42.85,43.16,"2,840,203"
,"Feb 9, 2021",43.08,43.17,42.63,42.68,"3,122,842"
,"Feb 10, 2021",42.85,43.15,42.56,42.88,"1,745,056"
,"Feb 11, 2021",42.83,43.44,42.83,43.40,"1,377,208"
,"Feb 12, 2021",43.23,44.56,43.07,44.53,"2,422,651"
