Exxon Mobil Corp XOM
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Apr 7, 2020",42.90,43.32,41.16,41.24,"48,921,827"
,"Apr 8, 2020",41.95,44.04,41.47,43.85,"33,355,550"
,"Apr 9, 2020",45.46,46.71,41.74,43.13,"60,208,060"
,"Apr 13, 2020",44.45,44.69,41.97,42.76,"29,651,941"
,"Apr 14, 2020",43.00,43.75,41.91,42.43,"30,768,967"
,"Apr 15, 2020",41.00,41.06,39.38,40.48,"33,125,000"
,"Apr 16, 2020",40.48,40.48,38.93,39.15,"30,933,970"
,"Apr 17, 2020",39.88,43.32,39.87,43.22,"40,829,135"
,"Apr 20, 2020",40.75,42.74,40.54,41.18,"39,260,780"
,"Apr 21, 2020",40.40,42.13,39.63,40.96,"44,381,590"
,"Apr 22, 2020",42.60,42.93,41.86,42.13,"27,084,692"
,"Apr 23, 2020",43.13,44.66,42.81,43.45,"35,270,950"
,"Apr 24, 2020",44.40,44.89,43.13,43.73,"28,667,004"
,"Apr 27, 2020",43.59,44.32,42.23,43.94,"28,274,373"
,"Apr 28, 2020",44.37,45.39,44.11,44.97,"26,545,071"
,"Apr 29, 2020",46.26,47.60,46.16,47.46,"29,502,522"
,"Apr 30, 2020",47.68,47.68,45.77,46.47,"37,076,298"
,"May 1, 2020",45.63,46.39,43.00,43.14,"35,399,315"
,"May 4, 2020",42.51,44.94,42.22,44.88,"27,465,643"
,"May 5, 2020",46.26,47.15,44.66,44.83,"29,276,154"
,"May 6, 2020",44.93,45.27,43.90,43.99,"22,659,018"
,"May 7, 2020",44.96,45.27,43.97,44.24,"22,160,320"
,"May 8, 2020",45.31,46.22,44.98,46.18,"19,998,701"
,"May 11, 2020",46.11,46.20,45.51,45.74,"22,258,025"
,"May 12, 2020",45.42,45.67,44.12,44.12,"25,439,095"
,"May 13, 2020",43.74,43.87,41.60,41.93,"30,827,912"
,"May 14, 2020",41.07,42.55,40.20,42.30,"24,856,521"
,"May 15, 2020",42.38,43.01,41.85,42.00,"22,445,564"
,"May 18, 2020",44.40,45.58,44.06,45.34,"32,046,113"
,"May 19, 2020",45.55,46.63,43.93,43.94,"21,771,647"
,"May 20, 2020",44.62,45.58,44.57,45.37,"19,352,436"
,"May 21, 2020",45.44,45.79,44.39,44.56,"19,130,740"
,"May 22, 2020",44.05,44.67,43.45,44.60,"15,406,404"
,"May 26, 2020",45.74,46.30,45.47,45.91,"20,356,452"
,"May 27, 2020",46.66,47.14,45.41,46.24,"20,788,290"
,"May 28, 2020",46.43,46.46,44.93,45.04,"19,705,894"
,"May 29, 2020",44.82,45.69,44.37,45.47,"25,886,238"
,"Jun 1, 2020",45.32,46.45,44.80,46.28,"19,038,401"
,"Jun 2, 2020",46.86,47.45,46.75,47.31,"22,318,978"
,"Jun 3, 2020",48.00,49.40,47.95,49.24,"23,418,047"
,"Jun 4, 2020",48.88,49.15,48.16,49.10,"18,731,361"
,"Jun 5, 2020",51.65,53.45,51.60,53.08,"41,328,943"
,"Jun 8, 2020",54.72,55.36,53.46,54.74,"33,579,420"
,"Jun 9, 2020",52.88,53.97,52.45,53.52,"27,276,943"
,"Jun 10, 2020",53.50,53.50,50.60,50.65,"31,156,787"
,"Jun 11, 2020",47.53,48.84,46.10,46.18,"39,182,998"
